"instancia";"dim";"config";"rep";"resultado"
28;123;2;11;8043972,21932683
28;123;2;12;9993505,14895464
28;123;2;13;9790495,28658545
28;123;2;14;8687796,32723409
28;123;2;15;8143741,95083124
28;123;2;16;9213744,91535643
28;123;2;17;9088398,78205698
28;123;2;18;7945146,56769247
28;123;2;19;9069014,69120785
28;123;2;20;9144300,06165764
28;123;2;21;9559803,00171102
28;123;2;22;9315776,64664779
28;123;2;23;8115819,45587029
28;123;2;24;9196983,15675327
28;123;2;25;9104329,78087209
28;123;2;26;9395231,70591323
28;123;2;27;8302791,40942574
28;123;2;28;10239044,2153103
28;123;2;29;8464169,80176941
28;123;2;30;9023221,46000892
29;128;1;1;64934,0804065252
29;128;1;2;92901,4498127313
29;128;1;3;106428,711180167
29;128;1;4;69609,9963271076
29;128;1;5;59497,8908970066
29;128;1;6;59005,3408526481
29;128;1;7;75840,9001922021
29;128;1;8;102073,537369404
29;128;1;9;107671,947431559
29;128;1;10;112976,707997871
29;128;1;11;95055,1194934239
29;128;1;12;54121,0489911926
29;128;1;13;69243,0784452425
29;128;1;14;83770,2268386028
29;128;1;15;64265,9131412473
29;128;1;16;102876,91628756
29;128;1;17;84339,976121876
29;128;1;18;43335,5801344486
29;128;1;19;78014,6604894286
29;128;1;20;73787,5274866678
29;128;1;21;90388,7781735653
29;128;1;22;96756,0220019954
29;128;1;23;65563,2620789725
29;128;1;24;45273,2490904007
29;128;1;25;62344,7009452318
29;128;1;26;63672,4177052746
29;128;1;27;76019,6967873959
29;128;1;28;91349,5237123108
29;128;1;29;75492,0898953922
29;128;1;30;79229,6025259197
29;128;2;1;8879787,5164993
29;128;2;2;10141622,1437874
29;128;2;3;9337477,86381492
29;128;2;4;10390601,4840817
29;128;2;5;8823704,87322407
29;128;2;6;10022502,3843058
29;128;2;7;8453556,62483415
29;128;2;8;8866791,95717798
29;128;2;9;8227476,30226286
29;128;2;10;7714694,15819012
29;128;2;11;9392482,62349745
29;128;2;12;9625173,88679419
29;128;2;13;9499874,01471294
29;128;2;14;9254503,69979753
29;128;2;15;9657644,58236066
29;128;2;16;9330895,57396273
29;128;2;17;8236468,66275501
29;128;2;18;8139367,62039736
29;128;2;19;8647114,69273698
29;128;2;20;8526418,23716153
29;128;2;21;9545939,85469518
29;128;2;22;8900842,53157202
29;128;2;23;9097106,51089907
29;128;2;24;10243872,4815982
29;128;2;25;10047875,7983457
